precinct_names,county_commissioner_dist,county_council_dist,city_council_dist
CLINTON,District 2,District 2,Not in City
FIRST NORTH,District 2,District 2,Ward 1
FIRST SOUTH,District 2,District 2,Ward 1
FLOYD EAST,District 1,District 1,Not in City
FLOYD SOUTH,District 1,District 1,Not in City
FLOYD WEST,District 1,District 1,Not in City
FOURTH EAST,District 2,District 3,Ward 4
FOURTH WEST,District 2,District 2,Ward 1
FOXRIDGE,District 2,District 4,Not in City
FRANKLIN NORTH,District 1,District 1,Not in City
FRANKLIN SOUTH,District 1,District 1,Not in City
GREENCASTLE NORTH,District 2,District 3,Not in City
JACKSON,District 1,District 1,Not in City
LIMEDALE,District 2,District 2,Not in City
MADISON,District 2,District 2,Not in City
MARION NORTH,District 2,District 3,Not in City
MARION SOUTH,District 2,District 3,Not in City
MONROE EAST,District 1,District 1,Not in City
MONROE WEST,District 1,District 1,Not in City
RUSSELL,District 1,District 1,Not in City
SECOND EAST,District 2,District 3,Ward 2
SECOND WEST,District 2,District 2,Ward 2
THIRD EAST,District 2,District 3,Ward 3
THIRD WEST,District 2,District 3,Ward 3
CLOVERDALE 01,District 3,District 4,Not in City
CLOVERDALE 02,District 3,District 4,Not in City
CLOVERDALE 03,District 3,District 4,Not in City
JEFFERSON,District 3,District 4,Not in City
WARREN,District 3,District 4,Not in City
WASHINGTON NORTH,District 3,District 2,Not in City
WASHINGTON SOUTH,District 3,District 2,Not in City
